Sentence,Subject,Object,Relation in Sentence,RO- Manual- Relation
"in a model that controlled for multiple breast cancer risk factors including body mass index (bmi), estradiol, and insulin, crp level was positively associated with breast cancer risk among ht nonusers (hazard ratio for high vs low crp levels = 1.67, 95% confidence interval = 1.04 to 2.68, p trend = .029).",bmi,breast cancer risk factors,including,is a
"in a model that controlled for multiple breast cancer risk factors including body mass index (bmi), estradiol, and insulin, crp level was positively associated with breast cancer risk among ht nonusers (hazard ratio for high vs low crp levels = 1.67, 95% confidence interval = 1.04 to 2.68, p trend = .029).",estradiol,breast cancer risk factors,including,is a
"in a model that controlled for multiple breast cancer risk factors including body mass index (bmi), estradiol, and insulin, crp level was positively associated with breast cancer risk among ht nonusers (hazard ratio for high vs low crp levels = 1.67, 95% confidence interval = 1.04 to 2.68, p trend = .029).",insulin,breast cancer risk factors,including,is a
"in this review we discuss the current epidemiology, basic science, and clinical data that link obesity, diabetes, and cancer and how treating obesity and type 2 diabetes could also reduce cancer risk and improve outcomes.",treating obesity,outcomes,improve,improves
"in this review we discuss the current epidemiology, basic science, and clinical data that link obesity, diabetes, and cancer and how treating obesity and type 2 diabetes could also reduce cancer risk and improve outcomes.",treating type 2 diabetes,outcomes,improve,improves
"obesity and overweight, often present in fm patients, are related to the severity of fm worsening the quality of life in terms of higher pain, fatigue, worsened sleep quality and higher incidence of mood disorders.",obesity,higher pain,in terms of,associated
"obesity and overweight, often present in fm patients, are related to the severity of fm worsening the quality of life in terms of higher pain, fatigue, worsened sleep quality and higher incidence of mood disorders.",obesity,fatigue,in terms of,associated
"obesity and overweight, often present in fm patients, are related to the severity of fm worsening the quality of life in terms of higher pain, fatigue, worsened sleep quality and higher incidence of mood disorders.",overweight,higher pain,in terms of,associated
"obesity and overweight, often present in fm patients, are related to the severity of fm worsening the quality of life in terms of higher pain, fatigue, worsened sleep quality and higher incidence of mood disorders.",overweight,fatigue,in terms of,associated
"we recently reported a potential mechanistic link between carbohydrate-derived metabolites and cancer, which may provide a biologic consequence of lifestyle that can directly affect tumor biology.",carbohydrate-derived metabolites,cancer,link,associated
"in this review we discuss the current epidemiology, basic science, and clinical data that link obesity, diabetes, and cancer and how treating obesity and type 2 diabetes could also reduce cancer risk and improve outcomes.",obesity,diabetes,link,associated
"in this review we discuss the current epidemiology, basic science, and clinical data that link obesity, diabetes, and cancer and how treating obesity and type 2 diabetes could also reduce cancer risk and improve outcomes.",obesity,cancer,link,associated
"in this review we discuss the current epidemiology, basic science, and clinical data that link obesity, diabetes, and cancer and how treating obesity and type 2 diabetes could also reduce cancer risk and improve outcomes.",diabetes,cancer,link,associated
"while there is little doubt regarding potential benefit of md for obesity, diabetes type ii, metabolic syndrome and fatty liver, critical evaluation has to be aimed at reported benefits of md in such widely metabolic diverse disorders as cancer, pulmonary disease and cognition defects, including alzheimer disease (ref. 20).",md,cancer,for,benefits
"while there is little doubt regarding potential benefit of md for obesity, diabetes type ii, metabolic syndrome and fatty liver, critical evaluation has to be aimed at reported benefits of md in such widely metabolic diverse disorders as cancer, pulmonary disease and cognition defects, including alzheimer disease (ref. 20).",md,pulmonary disease,for,benefits
"while there is little doubt regarding potential benefit of md for obesity, diabetes type ii, metabolic syndrome and fatty liver, critical evaluation has to be aimed at reported benefits of md in such widely metabolic diverse disorders as cancer, pulmonary disease and cognition defects, including alzheimer disease (ref. 20).",md,cognition defects,for,benefits
"while there is little doubt regarding potential benefit of md for obesity, diabetes type ii, metabolic syndrome and fatty liver, critical evaluation has to be aimed at reported benefits of md in such widely metabolic diverse disorders as cancer, pulmonary disease and cognition defects, including alzheimer disease (ref. 20).",md,alzheimer disease,for,benefits
"additionally, the relatively low essential amino acid content of some vegan diets may decrease hepatic igf-i synthesis.",vegan diets,low essential amino acid content,of,characterized by
"the insulin-sensitizing properties of many vegan diets--high in fiber, low in saturated fat--should amplify these effects by down-regulating insulin secretion.",vegan diet,insulin-sensitizing properties,of,contains
"the insulin-sensitizing properties of many vegan diets--high in fiber, low in saturated fat--should amplify these effects by down-regulating insulin secretion.",vegan diet,insulin-sensitizing properties,of,contains
the potential cancer protective effects of bariatric surgery may be due to other mechanisms other than simply hormonal changes.,bariatric surgery,cancer protective effects,of,produces
"obesity and overweight, often present in fm patients, are related to the severity of fm worsening the quality of life in terms of higher pain, fatigue, worsened sleep quality and higher incidence of mood disorders.",obesity,quality of life,worsening,"causally upstream of, negative effect"
"obesity and overweight, often present in fm patients, are related to the severity of fm worsening the quality of life in terms of higher pain, fatigue, worsened sleep quality and higher incidence of mood disorders.",obesity,sleep quality,worsening,"causally upstream of, negative effect"
"obesity and overweight, often present in fm patients, are related to the severity of fm worsening the quality of life in terms of higher pain, fatigue, worsened sleep quality and higher incidence of mood disorders.",overweight,quality of life,worsening,"causally upstream of, negative effect"
"obesity and overweight, often present in fm patients, are related to the severity of fm worsening the quality of life in terms of higher pain, fatigue, worsened sleep quality and higher incidence of mood disorders.",overweight,sleep quality,worsening,"causally upstream of, negative effect"
"low-fat vegan diets may be especially protective in regard to cancers linked to insulin resistance--namely, breast and colon cancer--as well as prostate cancer.",low-fat vegan diets,breast cancer,may be especially protective,may protect
"low-fat vegan diets may be especially protective in regard to cancers linked to insulin resistance--namely, breast and colon cancer--as well as prostate cancer.",low-fat vegan diets,colon cancer,may be especially protective,may protect
"low-fat vegan diets may be especially protective in regard to cancers linked to insulin resistance--namely, breast and colon cancer--as well as prostate cancer.",low-fat vegan diets,prostate cancer,may be especially protective,may protect
"significant perturbations in tryptophan, phenylalanine and heme metabolism suggested decreased inflammation and alterations in the intestinal microbiome.",perturbations in tryptophan,intestinal microbiome,alterations in the,alters
"significant perturbations in tryptophan, phenylalanine and heme metabolism suggested decreased inflammation and alterations in the intestinal microbiome.",perturbations in phenylalanine,intestinal microbiome,alterations in the,alters
"significant perturbations in tryptophan, phenylalanine and heme metabolism suggested decreased inflammation and alterations in the intestinal microbiome.",perturbations in heme metabolism,intestinal microbiome,alterations in the,alters
"patients were classified into three bmi categories: normal body weight, overweight, and obese.",normal body weight,bmi categories,:,is a
"patients were classified into three bmi categories: normal body weight, overweight, and obese.",overweight,bmi categories,:,is a
"patients were classified into three bmi categories: normal body weight, overweight, and obese.",obese,bmi categories,:,is a
"we recently reported a potential mechanistic link between carbohydrate-derived metabolites and cancer, which may provide a biologic consequence of lifestyle that can directly affect tumor biology.",biologic consequence of lifestyle,tumor biology,affect,affects
background: body mass index (bmi) has been shown to affect risk and mortality of several cancers.,bmi,risk of several cancers,affect,affects
background: body mass index (bmi) has been shown to affect risk and mortality of several cancers.,bmi,mortality of several cancers,affect,affects
"pancreatic cancer is an aggressive tumor with a very poor prognosis, lack of early diagnostic symptoms and highly resistant to therapy.",pancreatic cancer,poor prognosis,with a,associated
"pancreatic cancer is an aggressive tumor with a very poor prognosis, lack of early diagnostic symptoms and highly resistant to therapy.",pancreatic cancer,lack of early diagnostic symptoms,with a,associated
"pancreatic cancer is an aggressive tumor with a very poor prognosis, lack of early diagnostic symptoms and highly resistant to therapy.",pancreatic cancer,highly resistant to therapy,with a,associated
"low-fat vegan diets may be especially protective in regard to cancers linked to insulin resistance--namely, breast and colon cancer--as well as prostate cancer.",insulin resistance,breast cancer,linked to,associated
"low-fat vegan diets may be especially protective in regard to cancers linked to insulin resistance--namely, breast and colon cancer--as well as prostate cancer.",insulin resistance,colon cancer,linked to,associated
"low-fat vegan diets may be especially protective in regard to cancers linked to insulin resistance--namely, breast and colon cancer--as well as prostate cancer.",insulin resistance,prostate cancer,linked to,associated
"acting on hepatocytes, glucagon promotes (and insulin inhibits) camp-dependent mechanisms that down-regulate lipogenic enzymes and cholesterol synthesis, while up-regulating hepatic ldl receptors and production of the igf-i antagonist igfbp-1.",camp-dependent mechanisms,hepatic ldl receptors,up-regulating,positively regulates
"acting on hepatocytes, glucagon promotes (and insulin inhibits) camp-dependent mechanisms that down-regulate lipogenic enzymes and cholesterol synthesis, while up-regulating hepatic ldl receptors and production of the igf-i antagonist igfbp-1.",camp-dependent mechanisms,igf-i antagonist,up-regulating,positively regulates
"acting on hepatocytes, glucagon promotes (and insulin inhibits) camp-dependent mechanisms that down-regulate lipogenic enzymes and cholesterol synthesis, while up-regulating hepatic ldl receptors and production of the igf-i antagonist igfbp-1.",camp-dependent mechanisms,igfbp-1,up-regulating,positively regulates
"significant perturbations in tryptophan, phenylalanine and heme metabolism suggested decreased inflammation and alterations in the intestinal microbiome.",perturbations in tryptophan,inflammation,suggested decreased,"causally upstream of, negative effect"
"significant perturbations in tryptophan, phenylalanine and heme metabolism suggested decreased inflammation and alterations in the intestinal microbiome.",perturbations in phenylalanine,inflammation,suggested decreased,"causally upstream of, negative effect"
"significant perturbations in tryptophan, phenylalanine and heme metabolism suggested decreased inflammation and alterations in the intestinal microbiome.",perturbations in heme metabolism,inflammation,suggested decreased,"causally upstream of, negative effect"
"soy protein, as well as many other vegan proteins, are higher in non-essential amino acids than most animal-derived food proteins, and as a result should preferentially favor glucagon production.",soy protein,glucagon production,favor,benefits
"soy protein, as well as many other vegan proteins, are higher in non-essential amino acids than most animal-derived food proteins, and as a result should preferentially favor glucagon production.",vegan proteins,glucagon production,favor,benefits
"soy protein, as well as many other vegan proteins, are higher in non-essential amino acids than most animal-derived food proteins, and as a result should preferentially favor glucagon production.",non-essential amino acids,glucagon production,favor,benefits
"in multivariate analyses, higher bmi was independently associated with younger age at diagnosis (odd ratio (or)=0.97, 95% confidence interval (ci)=0.96-9.97) and the presence of lower tumor figo grade (or=0.98, 95% ci=0.97-0.99).",higher bmi,younger age,independently associated,associated
"in multivariate analyses, higher bmi was independently associated with younger age at diagnosis (odd ratio (or)=0.97, 95% confidence interval (ci)=0.96-9.97) and the presence of lower tumor figo grade (or=0.98, 95% ci=0.97-0.99).",higher bmi,presence of lower tumor,independently associated,associated
conclusion: this study showed that a high bmi at time of prostate cancer diagnosis was associated with increased overall mortality.,high bmi,increased overall mortality,was associated,associated
"in conclusion, the omega-3 index was associated with liver fat concentration but did not improve the overall capacity of demographic, anthropometric and blood markers to predict nafld.",omega-3 index,liver fat concentration,was associated,associated
amino acids modulate the secretion of both insulin and glucagon.,amino acids,secretion of insulin,modulate,regulates
amino acids modulate the secretion of both insulin and glucagon.,amino acids,secretion of glucagon,modulate,regulates
"benefits of md in preventing and reducing cardiovascular disorders (cvd), known before, have been strongly confirmed.",md,cardiovascular disorders,in preventing,prevents
"benefits of md in preventing and reducing cardiovascular disorders (cvd), known before, have been strongly confirmed.",md,cvd,in preventing,prevents
"in this review we discuss the current epidemiology, basic science, and clinical data that link obesity, diabetes, and cancer and how treating obesity and type 2 diabetes could also reduce cancer risk and improve outcomes.",treating obesity,cancer risk,could also reduce,"causally upstream of, negative effect"
"in this review we discuss the current epidemiology, basic science, and clinical data that link obesity, diabetes, and cancer and how treating obesity and type 2 diabetes could also reduce cancer risk and improve outcomes.",treating type 2 diabetes,cancer risk,could also reduce,"causally upstream of, negative effect"
"the omega-3 index, bmi, waist circumference, glucose, insulin, tag, high-sensitive c-reactive protein (hscrp) and alanine aminotransferase (alt) were positively correlated, and hdl and erythrocyte n-6:n-3 ratio negatively correlated with liver fat concentration.",hdl,liver fat concentration,negatively correlated,negatively correlated
"the omega-3 index, bmi, waist circumference, glucose, insulin, tag, high-sensitive c-reactive protein (hscrp) and alanine aminotransferase (alt) were positively correlated, and hdl and erythrocyte n-6:n-3 ratio negatively correlated with liver fat concentration.",erythrocyte n-6:n-3 ratio,liver fat concentration,negatively correlated,negatively correlated
"conclusions: although obesity itself was not found to be independently associated with survival in patients with mcrc, the adverse prognostic significance of ldh and il-8 was found to be enhanced in obese patients.",adverse prognostic significance of ldh,obese patients,was found to be enhanced in,improved
"conclusions: although obesity itself was not found to be independently associated with survival in patients with mcrc, the adverse prognostic significance of ldh and il-8 was found to be enhanced in obese patients.",adverse prognostic significance of il-8,obese patients,was found to be enhanced in,improved
"however, in clinical practice, ihf is assessed indirectly by pre-operative imaging [for example, chemical-shift magnetic resonance (cs-mr)].",ihf,pre-operative imaging,is assessed indirectly by,assessed by
"however, in clinical practice, ihf is assessed indirectly by pre-operative imaging [for example, chemical-shift magnetic resonance (cs-mr)].",ihf,chemical-shift magnetic resonance,is assessed indirectly by,assessed by
conclusion: increased bmi was significantly associated with lower tumor grade and younger patient age at diagnosis.,increased bmi,lower tumor grade,was significantly associated,associated
conclusion: increased bmi was significantly associated with lower tumor grade and younger patient age at diagnosis.,increased bmi,younger patient age,was significantly associated,associated
purpose: obesity is a well known risk factor for breast cancer recurrence and poor prognosis.,obesity,risk factor for breast cancer recurrence,is a well know,is a
purpose: obesity is a well known risk factor for breast cancer recurrence and poor prognosis.,obesity,risk factor for breast cancer poor progonsis,is a well know,is a
"acting on hepatocytes, glucagon promotes (and insulin inhibits) camp-dependent mechanisms that down-regulate lipogenic enzymes and cholesterol synthesis, while up-regulating hepatic ldl receptors and production of the igf-i antagonist igfbp-1.",glucagon,hepatocytes,acting on,acts on
"acting on hepatocytes, glucagon promotes (and insulin inhibits) camp-dependent mechanisms that down-regulate lipogenic enzymes and cholesterol synthesis, while up-regulating hepatic ldl receptors and production of the igf-i antagonist igfbp-1.",insulin,hepatocytes,acting on,acts on
"thus, diets featuring vegan proteins can be expected to lower elevated serum lipid levels, promote weight loss, and decrease circulating igf-i activity.",vegan proteins,weight loss,promote,promotes
"to support proliferation and survival under stress, two interacting complexes that harbor mtor, mtorc1 and mtorc2, promote the transcription of genes involved in carbohydrate metabolism and lipogenesis, enhance protein translation, and inhibit autophagy.","two interacting complexes that harbor mtor, mtorc1 and mtorc2",transcription of genes,promote,promotes
"in fact, vegans tend to have low serum lipids, lean physiques, shorter stature, later puberty, and decreased risk for certain prominent western cancers.",vegans,risk of western cancers,decreased,"causally upstream of, negative effect"
"failure to remove these highly reactive metabolites can lead to protein damage, aberrant cell signaling, increased stress responses, and decreased genetic fidelity.",reactive metabolites,genetic fidelity,decreased,"causally upstream of, negative effect"
"by altering the glucagon/insulin balance, it is conceivable that supplemental intakes of key non-essential amino acids could enable omnivores to enjoy some of the health advantages of a vegan diet.",health advantages,vegan diet,of a,associated
"by altering the glucagon/insulin balance, it is conceivable that supplemental intakes of key non-essential amino acids could enable omnivores to enjoy some of the health advantages of a vegan diet.",key non-essential amino acids,vegan diet,of a,do not find a relation
"additionally, men with a low bmi (<22.5 kg/m2 ), had a statistically significant increased risk of prostate cancer specific mortality (hr:1.33, 95% ci: 1.02-1.74) and overall mortality (hr:1.36, 95% ci: 1.11-1.67) compared to the reference.",low bmi,risk of prostate cancer specific mortality,had a statistically significant increased,positively regulates
"additionally, men with a low bmi (<22.5 kg/m2 ), had a statistically significant increased risk of prostate cancer specific mortality (hr:1.33, 95% ci: 1.02-1.74) and overall mortality (hr:1.36, 95% ci: 1.11-1.67) compared to the reference.",low bmi,risk of overall mortality,had a statistically significant increased,positively regulates
"studies have shown that an increase in bmi consequently leads to an increased risk of malignancies, including pancreatic cancer.",increase in bmi,risk of malignancies,leads to an increased,positively regulates
"studies have shown that an increase in bmi consequently leads to an increased risk of malignancies, including pancreatic cancer.",increase in bmi,pancreatic cancer,leads to an increased,positively regulates
regression of coronary stenoses has been documented during low-fat vegan diets coupled with exercise training.,low-fat vegan diets,regression of coronary stenoses,has been documented,associated
regression of coronary stenoses has been documented during low-fat vegan diets coupled with exercise training.,exercise training,regression of coronary stenoses,has been documented,associated
"obesity and overweight, often present in fm patients, are related to the severity of fm worsening the quality of life in terms of higher pain, fatigue, worsened sleep quality and higher incidence of mood disorders.",obesity,mood disorders,higher incidence of,associated
"obesity and overweight, often present in fm patients, are related to the severity of fm worsening the quality of life in terms of higher pain, fatigue, worsened sleep quality and higher incidence of mood disorders.",overweight,mood disorders,higher incidence of,associated
aim: obesity is classically linked to type i endometrial cancer (ec).,obesity,type i endometrial cancer,is classically linked to,associated
aim: obesity is classically linked to type i endometrial cancer (ec).,obesity,ec,is classically linked to,associated
metabolic syndrome has been identified as a risk factor for colorectal cancer and adenoma.,metabolic syndrome,risk factor for colorectal cancer,has been identified as,is a
metabolic syndrome has been identified as a risk factor for colorectal cancer and adenoma.,metabolic syndrome,risk factor for adenoma,has been identified as,is a
the incidence of cancer was higher in patients with colorectal adenoma and metabolic syndrome.,colorectal adenoma,cancer,incidence was higher,associated
the incidence of cancer was higher in patients with colorectal adenoma and metabolic syndrome.,metabolic syndrome,cancer,incidence was higher,associated
"the insulin-sensitizing properties of many vegan diets--high in fiber, low in saturated fat--should amplify these effects by down-regulating insulin secretion.",vegan diets,high in fiber,--,characterized by
"the insulin-sensitizing properties of many vegan diets--high in fiber, low in saturated fat--should amplify these effects by down-regulating insulin secretion.",vegan diets,low in saturated fat,--,characterized by
"results: in multivariable models, elevated interleukin (il)-8, il-2 receptor alpha, and lactate dehydrogenase (ldh) emerged as significant predictors of poor os (hazard ratio [hr] and 95% confidence interval [95% ci] for above vs below the (referent) knot point: 2.5 [95% ci, 1.7-3.7], 1.9 [95% ci, 1.3-2.7], and 2.2 [95% ci, 1.6-3.1], respectively.",evevated il-2 receptor alpha,predictors of poor os,emerged as significant,is a
"results: in multivariable models, elevated interleukin (il)-8, il-2 receptor alpha, and lactate dehydrogenase (ldh) emerged as significant predictors of poor os (hazard ratio [hr] and 95% confidence interval [95% ci] for above vs below the (referent) knot point: 2.5 [95% ci, 1.7-3.7], 1.9 [95% ci, 1.3-2.7], and 2.2 [95% ci, 1.6-3.1], respectively.",elevated interleukin il-8,predictors of poor os,emerged as significant,is a
"to support proliferation and survival under stress, two interacting complexes that harbor mtor, mtorc1 and mtorc2, promote the transcription of genes involved in carbohydrate metabolism and lipogenesis, enhance protein translation, and inhibit autophagy.",transcription of genes,carbohydrate metabolism,involved in,involved in
"to support proliferation and survival under stress, two interacting complexes that harbor mtor, mtorc1 and mtorc2, promote the transcription of genes involved in carbohydrate metabolism and lipogenesis, enhance protein translation, and inhibit autophagy.",transcription of genes,lipogenesis,involved,involved in
"obesity and overweight, often present in fm patients, are related to the severity of fm worsening the quality of life in terms of higher pain, fatigue, worsened sleep quality and higher incidence of mood disorders.",obesity,fm patients,present,associated
"obesity and overweight, often present in fm patients, are related to the severity of fm worsening the quality of life in terms of higher pain, fatigue, worsened sleep quality and higher incidence of mood disorders.",overweight,fm patients,present,associated
"to support proliferation and survival under stress, two interacting complexes that harbor mtor, mtorc1 and mtorc2, promote the transcription of genes involved in carbohydrate metabolism and lipogenesis, enhance protein translation, and inhibit autophagy.","two interacting complexes that harbor mtor, mtorc1 and mtorc2",proliferation under stress,support,do not find a relation
"to support proliferation and survival under stress, two interacting complexes that harbor mtor, mtorc1 and mtorc2, promote the transcription of genes involved in carbohydrate metabolism and lipogenesis, enhance protein translation, and inhibit autophagy.","two interacting complexes that harbor mtor, mtorc1 and mtorc2",survival under stress,support,do not find a relation
"failure to remove these highly reactive metabolites can lead to protein damage, aberrant cell signaling, increased stress responses, and decreased genetic fidelity.",reactive metabolites,protein damage,can lead to,causes or contributes to condition
"failure to remove these highly reactive metabolites can lead to protein damage, aberrant cell signaling, increased stress responses, and decreased genetic fidelity.",reactive metabolites,aberrant cell signaling,can lead to,causes or contributes to condition
nutritional deficiencies have been described in fm patients and the benefits of specific diet and nutritional supplementation are shown.,specific diet,fm patients,benefits,benefits
nutritional deficiencies have been described in fm patients and the benefits of specific diet and nutritional supplementation are shown.,nutritional supplementation,fm patients,benefits,benefits
"acting on hepatocytes, glucagon promotes (and insulin inhibits) camp-dependent mechanisms that down-regulate lipogenic enzymes and cholesterol synthesis, while up-regulating hepatic ldl receptors and production of the igf-i antagonist igfbp-1.",camp-dependent mechanisms,lipogenic enzymes,down-regulate,negatively regulates
"acting on hepatocytes, glucagon promotes (and insulin inhibits) camp-dependent mechanisms that down-regulate lipogenic enzymes and cholesterol synthesis, while up-regulating hepatic ldl receptors and production of the igf-i antagonist igfbp-1.",camp-dependent mechanisms,cholesterol synthesis,down-regulate,negatively regulates
"results: high bmi (bmi ≥ 27.5 kg/m2) was associated with a statistically significant increased risk of prostate cancer specific mortality (hr:1.44, 95% ci: 1.09-1.90) and overall mortality (hr:1.33, 95% ci: 1.09-1.63) compared to the reference group (bmi 22.5 < 25 kg/m2).",high bmi,risk of prostate cancer specific mortality,was associated with,associated
"results: high bmi (bmi ≥ 27.5 kg/m2) was associated with a statistically significant increased risk of prostate cancer specific mortality (hr:1.44, 95% ci: 1.09-1.90) and overall mortality (hr:1.33, 95% ci: 1.09-1.63) compared to the reference group (bmi 22.5 < 25 kg/m2).",high bmi,risk of overall mortality,was associated with,associated
lymphovascular invasion (lvi) is a well-known adverse prognostic factor in ec.,lvi,adverse prognostic factor in ec,is a well-known,is a
lymphovascular invasion (lvi) is a well-known adverse prognostic factor in ec.,lymphovascular invasion,adverse prognostic factor in ec,is a well-known,is a
"similar results emerged from joint effects analysis, in which obese patients with high il-8 (or ldh) experienced the highest risk of death.",obese patients with high il-8,highest risk of death,experienced,associated
"similar results emerged from joint effects analysis, in which obese patients with high il-8 (or ldh) experienced the highest risk of death.",obese patients with high ldh,highest risk of death,experienced,associated
"results: the multivariate linear regression models showed that d-ihf was best predicted by homa-ir (beta coefficient(per doubling): 2.410, 95% ci: 1.093, 5.313) and adiponectin (β(per doubling): 0.197, 95% ci: 0.058, 0.667), but not by anthropometrics.",d-ihf,homa-ir,was best predicted,predicted
"results: the multivariate linear regression models showed that d-ihf was best predicted by homa-ir (beta coefficient(per doubling): 2.410, 95% ci: 1.093, 5.313) and adiponectin (β(per doubling): 0.197, 95% ci: 0.058, 0.667), but not by anthropometrics.",d-ihf,adiponectin,was best predicted,predicted
"conversely, the high igf-i activity associated with heavy ingestion of animal products may be largely responsible for the epidemic of western cancers in wealthy societies.",heavy ingestion of animal products,western cancers,may be largely responsible,responsible of
"conversely, the high igf-i activity associated with heavy ingestion of animal products may be largely responsible for the epidemic of western cancers in wealthy societies.",high igf-i activity,western cancers,may be largely responsible,responsible of
"benefits of md in preventing and reducing cardiovascular disorders (cvd), known before, have been strongly confirmed.",md,cardiovascular disorders,reducing,"causally upstream of, negative effect"
"benefits of md in preventing and reducing cardiovascular disorders (cvd), known before, have been strongly confirmed.",md,cvd,reducing,"causally upstream of, negative effect"
advanced glycation end-products (age) are reactive metabolites produced as a by-product of sugar metabolism.,age,by-product of sugar metabolism,produced as a,is a
increased phytochemical intake is also likely to contribute to the reduction of cancer risk in vegans.,phytochemical,cancer risk,contribute to the reduction,"causally upstream of, negative effect"
"to date, only body mass indices (bmi) determined at the time of diagnosis have correlated with clinical outcome.",bmi,clinical outcome,have correlated,correlated with
the normal microbiome acts as a barrier against pathogens.,normal microbiome,barrier against pathogens,acts,acts as
"results: in multivariable models, elevated interleukin (il)-8, il-2 receptor alpha, and lactate dehydrogenase (ldh) emerged as significant predictors of poor os (hazard ratio [hr] and 95% confidence interval [95% ci] for above vs below the (referent) knot point: 2.5 [95% ci, 1.7-3.7], 1.9 [95% ci, 1.3-2.7], and 2.2 [95% ci, 1.6-3.1], respectively.",elevated lactate dehydrogenase,predictors of poor os,emerged as significant,is a
previous studies of pre-diagnostic bmi have found an increased risk of prostate cancer mortality in obese patients.,studies of pre-diagnostic bmi,increased risk of prostate cancer mortality in obese patients,have found,finds
"acting on hepatocytes, glucagon promotes (and insulin inhibits) camp-dependent mechanisms that down-regulate lipogenic enzymes and cholesterol synthesis, while up-regulating hepatic ldl receptors and production of the igf-i antagonist igfbp-1.",glucagon,camp-dependent mechanisms,promotes,promotes
an unnecessarily high intake of essential amino acids--either in the absolute sense or relative to total dietary protein--may prove to be as grave a risk factor for 'western' degenerative diseases as is excessive fat intake.,high intake of essential amino acids,risk factor for western degenerative diseases,may prove to be,is a
neonatal malnutrition defined by birth weight (bw) is a risk factor for obesity and cardio-metabolic diseases in adults.,bw,neonatal malnutrition,defined,determines
"in a model that controlled for multiple breast cancer risk factors including body mass index (bmi), estradiol, and insulin, crp level was positively associated with breast cancer risk among ht nonusers (hazard ratio for high vs low crp levels = 1.67, 95% confidence interval = 1.04 to 2.68, p trend = .029).",crp level,breast cancer risk among ht nonusers,was positively associated,associated
"pancreatic cancer is an aggressive tumor with a very poor prognosis, lack of early diagnostic symptoms and highly resistant to therapy.",pancreatic cancer,aggressive tumor,is an,is a
"the insulin-sensitizing properties of many vegan diets--high in fiber, low in saturated fat--should amplify these effects by down-regulating insulin secretion.",insulin-sensitizing properties,insulin secretion,down-regulating,negatively regulates
"given the potential benefits of lifestyle changes and the potential biologic role of ages in promoting cancer, opportunities exist for collaborations affecting basic, translational, epidemiologic, and cancer prevention initiatives.",ages,cancer,promoting,promotes
"although rapamycin was originally developed as an inhibitor of t cell proliferation for preventing organ transplant rejection, its molecular target, mtor, has been subsequently identified as a central regulator of metabolic cues that drive lineage specification in the immune system.",rapamycin,organ transplant rejection,for preventing,is preventative for condition
"owing to oxidative stress, the activation of mtorc1 has emerged as a central pathway for the pathogenesis of systemic lupus erythematosus and other autoimmune diseases.",activation of mtorc1,pathogenesis of systemic lupus erythematosus,has emerged as a central pathway for the,associated
"thus, diets featuring vegan proteins can be expected to lower elevated serum lipid levels, promote weight loss, and decrease circulating igf-i activity.",vegan proteins,elevated serum lipid levels,lower,"causally upstream of, negative effect"
"paradoxically, mtorc1 has also been identified as a mediator of the warburg effect that allows cell survival under hypoxia.",mtorc1,warburg effect,has also been identified as a mediator of,mediates
neonatal ponderal index (npi) may have better diagnostic value than bw to establish nutritional status.,npi,nutritional status,may have better diagnose,determines
the cumulative exposure to estrogen throughout a woman's life is one of the significant risk factors for breast cancer.,exposure to estrogen,risk factors for breast cancer,is one of the significant,is a
"background: obesity is strongly linked with chronic systemic inflammation, and each has been linked with disease progression and survival in patients with colorectal cancer (crc).",obesity,colorectal cancer,-,associated
"through preventing these diseases, personalized mtor blockade holds promise to extend life span.",personalized mtor blockade,life span,extend,extends
"although rapamycin was originally developed as an inhibitor of t cell proliferation for preventing organ transplant rejection, its molecular target, mtor, has been subsequently identified as a central regulator of metabolic cues that drive lineage specification in the immune system.",rapamycin,t cell proliferation,was originally developed as an inhibitor,inhibits
"we recently reported a potential mechanistic link between carbohydrate-derived metabolites and cancer, which may provide a biologic consequence of lifestyle that can directly affect tumor biology.",carbohydrate-derived metabolites,biologic consequence of lifestyle,provide,directly provides input for
"additionally, the relatively low essential amino acid content of some vegan diets may decrease hepatic igf-i synthesis.",low essential amino acid content,hepatic igf-i synthesis,may decrease,"causally upstream of, negative effect"
"among non-pharmacological treatment, nutrition is a promising tool for fm patients.",nutrition,tool for fm patients,is a promising,is a
"although rapamycin was originally developed as an inhibitor of t cell proliferation for preventing organ transplant rejection, its molecular target, mtor, has been subsequently identified as a central regulator of metabolic cues that drive lineage specification in the immune system.",metabolic cues,lineage specification,drive,associated
"the mechanistic target of rapamycin (mtor) is a ubiquitous serine/threonine kinase, which plays pivotal roles in integrating growth signals on a cellular level.",mtor,growth signals on a celular level,integrating,integrates
"failure to remove these highly reactive metabolites can lead to protein damage, aberrant cell signaling, increased stress responses, and decreased genetic fidelity.",reactive metabolites,stress responses,increased,"causally upstream of, positive effect"
these metabolic changes may contribute directly or indirectly to cancer progression.,metabolic changes,cancer progression,may contribute directly or indirectly,contributes to
"the metabolic abnormalities associated with type 2 diabetes develop many years before the onset of diabetes and, therefore, may be contributing to cancer risk before individuals are aware that they are at risk.",metabolic abnormalities associated with type 2 diabetes,cancer risk,may be contributing to,contributes to
"conclusions: although obesity itself was not found to be independently associated with survival in patients with mcrc, the adverse prognostic significance of ldh and il-8 was found to be enhanced in obese patients.",obesity,survival in patients with mcrc,not found to be independently associated with,not associated
